arg_num	species	vf_num
34	acinetobacter	132
39	acinetobacter	128
26	acinetobacter	130
39	acinetobacter	130
33	acinetobacter	127
34	acinetobacter	120
32	acinetobacter	132
31	acinetobacter	127
30	acinetobacter	125
25	acinetobacter	92
30	acinetobacter	124
30	acinetobacter	134
37	acinetobacter	122
35	acinetobacter	129
30	acinetobacter	123
33	acinetobacter	127
23	acinetobacter	98
39	acinetobacter	127
30	acinetobacter	134
31	acinetobacter	128
33	acinetobacter	130
25	acinetobacter	117
30	acinetobacter	130
35	acinetobacter	131
33	acinetobacter	125
31	acinetobacter	132
40	acinetobacter	125
11	stenotrophomonas	5
11	stenotrophomonas	5
15	stenotrophomonas	4
12	stenotrophomonas	5
12	stenotrophomonas	6
16	stenotrophomonas	5
7	stenotrophomonas	8
7	stenotrophomonas	4
6	stenotrophomonas	4
5	corynebacterium	1
13	corynebacterium	8
8	corynebacterium	8
8	corynebacterium	1
10	corynebacterium	5
8	corynebacterium	9
3	corynebacterium	0
7	corynebacterium	8
2	corynebacterium	0
3	corynebacterium	1
7	corynebacterium	8
7	corynebacterium	4
8	corynebacterium	1
3	corynebacterium	5
8	corynebacterium	7
11	corynebacterium	8
8	corynebacterium	9
9	corynebacterium	8
7	corynebacterium	9
8	corynebacterium	1
6	corynebacterium	3
7	corynebacterium	8
6	corynebacterium	1
9	corynebacterium	8
8	corynebacterium	8
8	corynebacterium	9
4	corynebacterium	1
8	corynebacterium	8
7	corynebacterium	7
3	corynebacterium	5
53	pseudomonas	338
54	pseudomonas	333
45	pseudomonas	298
55	pseudomonas	371
52	pseudomonas	324
57	pseudomonas	374
55	pseudomonas	356
51	pseudomonas	361
63	pseudomonas	361
54	pseudomonas	351
58	pseudomonas	351
55	pseudomonas	360
38	klebsiella	132
26	klebsiella	95
28	klebsiella	90
30	klebsiella	145
28	klebsiella	106
32	klebsiella	127
31	klebsiella	116
32	klebsiella	169
37	klebsiella	121
40	klebsiella	130
28	klebsiella	109
35	klebsiella	131
40	klebsiella	123
